"","jday","Site","month","TS.5","TS.10","TS.30","RH","PARin","SWin","VPD","Precip","Ta"
"21",11,"BB1","Jan",4.72585822916667,4.60214454166667,NA,84.8481602083333,84.428132965087,41.3294171458333,0.138991464820946,0.264583333333333,4.61847085416667
"22",11,"BB2","Jan",3.30206951388889,3.58565552777778,3.9767359375,82.0460048895354,88.7811414583333,41.5398985208333,0.166300718756645,0.391666666666667,4.74074191666667
"23",12,"BB1","Jan",3.56792484210526,3.37790015789474,NA,92.7883234210526,50.8616362527026,22.4721934736842,0.0572249550060942,0.326315789473684,3.13019107894737
"24",12,"BB2","Jan",3.29902019444444,3.61226807638889,3.92732246527778,87.9708693961604,54.8653373333333,26.9662908333333,0.0948789025894759,0.325,2.98939289583333
"25",13,"BB1","Jan",2.526316,2.512442125,NA,74.601094375,129.351673317462,55.9043691875,0.0998958185848623,0,-5.970429
"26",13,"BB2","Jan",1.90542652777778,2.54121311805556,3.10143371527778,68.1671250653813,69.7693276458333,27.6070813541667,0.128328791119361,0,-5.56610220833333
"27",14,"BB1","Jan",3.11001033333333,3.13157233333333,NA,71.2477127777778,41.7837856949129,17.5699743333333,0.102207346712908,0,-7.29959816666667
"28",14,"BB2","Jan",1.04819105555556,1.81604965277778,2.5333001875,68.9023968394562,79.2935386875,33.1580834583333,0.108075855078793,0,-7.59851089583333
"29",15,"BB1","Jan",2.76685222222222,2.86946477777778,NA,91.8512516666667,26.5788285377447,9.19069833333333,0.0342214149678468,0,-6.74626844444444
"30",15,"BB2","Jan",0.831626722222222,1.42067151388889,2.11411742361111,88.6371507815604,50.4201447708333,18.4030258958333,0.0505980671346753,0,-5.91684029166667
"31",16,"BB1","Jan",3.83930045714286,3.88638302857143,NA,89.3726845714286,116.622531940285,54.1458673714286,0.0669942806044257,0.128571428571429,-0.620862457142857
"32",16,"BB2","Jan",0.684826555555556,1.17592744444444,1.83374289583333,82.6824841888917,98.7796494375,38.3846490208333,0.104814090924313,0.03125,-1.18271354166667
"33",17,"BB1","Jan",4.03178847916667,4.10734452083333,NA,89.3971258333333,116.010262813839,54.2657850416667,0.0729014456482556,0.0104166666666667,-0.404522979166667
"34",17,"BB2","Jan",0.598446736111111,1.09160093055556,1.6980843125,87.2151309981917,137.601582104167,51.6094001041667,0.086492775794442,0.06875,-1.05434247916667
"35",18,"BB1","Jan",3.81297839583333,3.86231579166667,NA,95.532209375,49.9373872477181,20.2664976875,0.0329140923460878,0.08125,2.60376097916667
"36",18,"BB2","Jan",0.620838,1.02769486805556,1.60705147222222,94.1866104790938,53.1268817083333,19.5644369166667,0.0423797861396614,0.214583333333333,2.47060225
"37",19,"BB1","Jan",3.35488335416667,3.3385335625,NA,98.9424870833333,45.3456825255833,18.932371,0.00870753150686019,0.05625,4.98026958333333
"38",19,"BB2","Jan",0.6715851875,0.978095666666667,1.52435685416667,98.0618113474042,48.7358661875,18.78735575,0.016039642554926,0.0729166666666667,5.0098941875
"39",20,"BB1","Jan",3.27569139583333,3.11661683333333,NA,97.95533875,61.7402230914171,27.2843002916667,0.0212259552984114,0.10625,6.15783189583333
"40",20,"BB2","Jan",1.45195943055556,1.46273864583333,1.91340035416667,96.9400850817875,68.2132690416667,27.6281911458333,0.0320003553218321,0.145833333333333,6.536675
"41",21,"BB1","Jan",3.81712341666667,3.42426202083333,NA,89.4441529166667,48.923297291224,21.2335720416667,0.113125998787116,0.110416666666667,7.83334
"42",21,"BB2","Jan",3.26560970138889,3.03040563888889,3.05997359722222,87.2685692837958,53.4096570625,21.7121960208333,0.138156797115966,0.11875,8.04065383333333
"43",22,"BB1","Jan",4.6716669375,4.10862691666667,NA,96.6398995833333,27.5387626407538,11.2090512083333,0.0339300309955767,0.29375,6.63924683333333
"44",22,"BB2","Jan",4.1424844375,3.83804259027778,3.67592004861111,95.4453120935292,27.9866006875,10.6075386875,0.0468879558765447,0.410416666666667,6.969199875
