"","jday","Site","month_local","NEE_f","GPP_DT","GPP_f","Reco","Reco_DT","CH4_f","CH4_f_RF","NEEgC_f","GPPgC_DT","GPPgC_f","RecogC","RecogC_DT","CH4gC_f","CH4mgC_f","CH4gC_f_RF","CH4mgC_f_RF","NEEcum","GPPcum_f","Recocum","CH4mgCcum","CH4cum_f_RF","CH4cum_f_RF_gC","co2","ch4","co2gC","ch4gC","ch4mgC"
"600",232,"BB2","8",0.150260115045682,2.2681692064401,2.86851053677898,3.01877065182466,2.37787667706379,NA,0.0627518859431424,0.155919512018763,2.35359753143146,2.97655011763622,3.13246962965499,2.46743702422872,NA,NA,0.0651153729753049,65.1153729753049,-47.4222590147133,350.281559133713,302.859300118999,NA,5004.54325377318,5.00454325377318,-1.25714922727273,0.0726031363636364,-1.30449849576873,0.0753376608916364,75.3376608916364
"601",233,"BB2","8",1.06595172084055,1.65223529605396,2.02688238629678,3.09283410713734,2.39257079595142,NA,0.0761438480164931,1.10609972645429,1.71446508624454,2.10322288449427,3.20932261094856,2.48268458241013,NA,NA,0.0790117299081863,79.0117299081863,-46.316159288259,352.384782018207,306.068622729948,NA,5083.55498368137,5.08355498368137,0.514553095238095,0.0803531428571429,0.533933223017143,0.0833795636297143,83.3795636297143
"602",234,"BB2","8",1.54822244548137,1.43940194918389,1.38256454619423,2.9307869916756,2.10313614425836,NA,0.0708056800286458,1.60653469566798,1.49361558419795,1.43463745726209,3.04117215293007,2.1823486639957,NA,NA,0.0734725051612448,73.4725051612448,-44.709624592591,353.819419475469,309.109794882878,NA,5157.02748884261,5.15702748884261,2.56725559090909,0.0783885909090909,2.66394870548509,0.0813410187970909,81.3410187970909
"603",235,"BB2","8",-0.122606418179457,2.39022403466227,2.80640553744429,2.68379911926484,1.98467685915898,NA,0.0380646579852431,-0.127224266313769,2.48024943270379,2.91210599560659,2.78488172929283,2.05942772838234,NA,NA,0.0394983252635992,39.4983252635992,-44.8368488589048,356.731525471076,311.894676612171,NA,5196.52581410621,5.19652581410621,-0.611096466666667,0.044857,-0.6341128039872,0.046546494048,46.546494048
"604",236,"BB2","8",-0.685970192802466,2.22838538225481,3.11259505123058,2.42662485842812,1.98251367646432,NA,0.0483998664244792,-0.711806574144178,2.31231528929206,3.22982783124013,2.51802125709595,2.05718307157467,NA,NA,0.0502227989934907,50.2227989934907,-45.548655433049,359.961353302316,314.412697869267,NA,5246.7486130997,5.2467486130997,-1.09244532,0.037696,-1.13359118053248,0.039115782144,39.115782144
"605",237,"BB2","8",-0.312766347588924,1.87277456811673,2.57450492837347,2.26173858078455,1.74827180742463,NA,0.037772311453559,-0.324546379304513,1.94331074945028,2.67147108199573,2.34692470269122,1.81411871677947,NA,NA,0.0391949677921459,39.1949677921459,-45.8732018123535,362.632824384312,316.759622571958,NA,5285.94358089185,5.28594358089185,-0.907981619047619,0.0397380952380952,-0.942179838747429,0.0412347908571429,41.2347908571429
"606",238,"BB2","8",-0.649851354982071,1.64409859471866,2.52887730673972,1.87902595175765,1.15872259323619,NA,0.0422861350013021,-0.674327356416116,1.70602192419014,2.62412494162076,1.94979758520465,1.20236472098784,NA,NA,0.0438787999899911,43.8787999899911,-46.5475291687696,365.256949325932,318.709420157163,NA,5329.82238088184,5.32982238088184,-0.96991980952381,0.0443142380952381,-1.00645086922971,0.0459832895588571,45.9832895588571
"607",239,"BB2","8",-0.651260413340677,1.82573857804966,2.32557774447252,1.67431733113184,1.30155409236695,NA,0.037968972875,-0.67578948554874,1.89450319585332,2.41316830464033,1.73737881909159,1.35057582570185,NA,NA,0.039399036269364,39.399036269364,-47.2233186543184,367.670117630573,320.446798976254,NA,5369.2214171512,5.3692214171512,-1.83753995454545,0.0460590909090909,-1.90674905939345,0.0477938605090909,47.7938605090909
"608",240,"BB2","8",-0.654810665190307,1.98331849162868,2.04403370270248,1.38922303751217,1.45404541188497,NA,0.0356445425486111,-0.679473454084034,2.05801819929738,2.12102018808107,1.44154673399703,1.50881057827821,NA,NA,0.036987058599162,36.987058599162,-47.9027921084024,369.791137818654,321.888345710251,NA,5406.20847575036,5.40620847575036,-1.75534572222222,0.0354,-1.821459063504,0.0367333056,36.7333056
"609",241,"BB2","8",-0.487116194321824,2.17256197423662,1.64807229543116,1.16095610110934,1.58053221038003,NA,0.0749696984704861,-0.505462938664762,2.25438934843427,1.71014529036628,1.20468235170152,1.64006137555178,NA,NA,0.0777933571936785,77.7933571936785,-48.4082550470672,371.50128310902,323.093028061953,NA,5484.00183294404,5.48400183294404,-1.66247135294118,0.140161823529412,-1.72508667397835,0.145440878450824,145.440878450824
