"","jday","Site","month_local","co2","ch4","co2gC","ch4gC","ch4mgC"
"79",65,"BB1","3",0.208173,0.00664666666666667,0.216013627872,0.00689700672,6.89700672
"80",65,"BB2","3",0.373004739130435,0.00610754347826087,0.387053589625043,0.00633757799582609,6.33757799582609
"81",66,"BB1","3",0.098594,0.0451243076923077,0.102307444416,0.0468238696172308,46.8238696172308
"82",66,"BB2","3",-0.549700458333333,0.002364375,-0.570404376396,0.00245342682,2.45342682
"83",67,"BB1","3",-0.214420833333333,-0.00740333333333333,-0.2224967796,-0.00768217248,-7.68217248
"84",67,"BB2","3",-0.062238125,-0.0049285,-0.06458226174,-0.005114127024,-5.114127024
"85",68,"BB1","3",0.225805913043478,0.00835782608695652,0.234310666952348,0.00867261524869565,8.67261524869565
"86",68,"BB2","3",-0.466221952380952,-0.00907679047619048,-0.483781735995429,-0.00941865871268571,-9.41865871268571
"87",69,"BB1","3",0.4878665,0.0208,0.506241503856,0.0215834112,21.5834112
"88",69,"BB2","3",-0.449736153846154,-0.0118226923076923,-0.466675016344615,-0.0122679821907692,-12.2679821907692
"89",70,"BB1","3",-0.27861,0.006185,-0.28910356704,0.00641795184,6.41795184
"90",70,"BB2","3",0.288318888888889,0.00652788888888889,0.29917813152,0.006773755296,6.773755296
"91",71,"BB1","3",0.377511318181818,0.0118704545454545,0.391729904469818,0.0123175433454545,12.3175433454545
"92",71,"BB2","3",-0.0667571081081081,-0.00127110810810811,-0.0692714478278919,-0.00131898312389189,-1.31898312389189
"93",72,"BB1","3",-0.00653164705882352,0.00815823529411765,-0.00677765501364705,0.00846550706823529,8.46550706823529
"94",72,"BB2","3",-0.146412733333333,0.00706797666666667,-0.1519272225216,0.00733418493984,7.33418493984
"95",73,"BB1","3",0.115107342857143,0.0103437142857143,0.119442745818514,0.0107332999405714,10.7332999405714
"96",73,"BB2","3",0.0711894166666667,0.00287220277777778,0.073870694856,0.0029803814232,2.9803814232
"97",74,"BB1","3",0.274604558139535,0.00876697674418605,0.284947264217302,0.00909717615627907,9.09717615627907
"98",74,"BB2","3",0.0134799574468085,0.00225563829787234,0.0139876665640851,0.0023405946587234,2.3405946587234
"99",75,"BB1","3",-0.238765096774194,0.0188579677419355,-0.247757945379097,0.0195682342389677,19.5682342389677
"100",75,"BB2","3",-0.202584555555556,0.000746111111111111,-0.210214700256,0.00077421264,0.77421264
"101",76,"BB1","3",-0.445553777777778,-0.00223461111111111,-0.462335115264,-0.002318775504,-2.318775504
"102",76,"BB2","3",-0.55808068,0.0009244,-0.57910023073152,0.0009592166016,0.9592166016
"103",77,"BB1","3",-0.628964538461538,0.0117586538461538,-0.652653858838154,0.0122015317846154,12.2015317846154
"104",77,"BB2","3",-0.09682452,0.00885672,-0.10047131872128,0.00919029950208,9.19029950208
"105",78,"BB1","3",0.156803333333333,0.0126344444444444,0.16270917408,0.01311030816,13.11030816
"106",78,"BB2","3",0.053230611111111,0.00622522222222222,0.0552354888479999,0.006459688992,6.459688992
"107",79,"BB1","3",0.389340411764706,0.00317176470588235,0.404004529033412,0.00329122605176471,3.29122605176471
"108",79,"BB2","3",-0.151648833333333,-0.00648558333333333,-0.157360534992,-0.006729856344,-6.729856344
"109",80,"BB1","3",-0.053191275862069,0.00721441379310345,-0.055194672076138,0.0074861374742069,7.4861374742069
"110",80,"BB2","3",0.0746111304347826,0.0236698869565217,0.0774212840514783,0.0245613895788522,24.5613895788522
"111",81,"BB1","3",0.277398653846154,0.0172352307692308,0.287846596744615,0.0178843785009231,17.8843785009231
"112",81,"BB2","3",0.13425144,0.020384,0.13930788623616,0.021151742976,21.151742976
"113",82,"BB1","3",0.0947501333333333,5.88999999999996e-05,0.0983188023552,6.11184095999996e-05,0.0611184095999996
"114",82,"BB2","3",0.120164863636364,0.0431757727272727,0.124690753060364,0.0448019450312727,44.8019450312727
"115",83,"BB1","3",0.0626582727272727,0.0328,0.0650182339112727,0.0340353792,34.0353792
"116",83,"BB2","3",-0.384484571428571,0.0232569285714286,-0.398965798326857,0.0241328775291429,24.1328775291429
"117",84,"BB2","3",0.291857352941176,-0.00284264705882353,0.302849868282353,-0.00294971251764706,-2.94971251764706
"118",85,"BB1","3",-0.264895666666667,0.00669272222222222,-0.274872697056,0.006944796912,6.944796912
"119",85,"BB2","3",-0.322174307692308,0.0134173846153846,-0.334308680817231,0.0139227369895385,13.9227369895385
"120",86,"BB1","3",0.255154842105263,0.00547868421052632,0.264764994078316,0.00568503337263158,5.68503337263158
"121",86,"BB2","3",0.174780444444444,-0.000140777777777777,0.181363375104,-0.000146080032,-0.146080032
"122",87,"BB2","3",-0.433899,0.00426666666666667,-0.450241371936,0.0044273664,4.4273664
"123",88,"BB1","3",0.102937333333333,0.01502,0.106814365056,0.01558571328,15.58571328
"124",88,"BB2","3",-0.14090275,0.002815975,-0.146209711176,0.0029220358824,2.9220358824
"125",89,"BB1","3",0.00773336842105262,0.00568994736842105,0.00802463800926315,0.00590425354610526,5.90425354610526
"126",89,"BB2","3",0.0619773103448276,-0.0010055275862069,0.0643116237616552,-0.00104339977721379,-1.04339977721379
"127",90,"BB1","3",0.116293705882353,0.0351973529411765,0.120673792020706,0.0365230260423529,36.5230260423529
"128",90,"BB2","3",0.0430806842105263,0.0172863157894737,0.0447032751006316,0.0179373875873684,17.9373875873684
"129",91,"BB1","3",-0.111740551724138,-0.00014096551724138,-0.115949147864276,-0.000146274842482759,-0.146274842482759
"130",91,"BB2","3",-0.151536647058824,-0.00632185294117647,-0.157244123333647,-0.00655995921035294,-6.55995921035294
"131",92,"BB1","4",-0.175942363636364,0.00363454545454545,-0.182569056820364,0.00377143697454545,3.77143697454545
"132",92,"BB2","4",-0.277519444444444,-0.0004285,-0.2879719368,-0.000444639024,-0.444639024
"133",93,"BB1","4",0.121342775,0.01486195,0.1259130292776,0.0154217104848,15.4217104848
"134",93,"BB2","4",-0.0110237096774194,0.0117644516129032,-0.0114389066787097,0.0122075479184516,12.2075479184516
"135",94,"BB1","4",-0.06814946875,0.0059471875,-0.070716250341,0.00617118237,6.17118237
"136",94,"BB2","4",-0.485234310344828,0.00302724137931034,-0.503510175409655,0.00314125939862069,3.14125939862069
"137",95,"BB1","4",-0.0750185714285714,0.00887964285714286,-0.0778440709028572,0.00921408572571429,9.21408572571429
"138",95,"BB2","4",-0.147988921052632,0.00389810526315789,-0.153562775775158,0.00404492349978947,4.04492349978947
"139",96,"BB1","4",-0.313500576923077,0.00315423076923077,-0.325308262652308,0.00327303171692308,3.27303171692308
"140",96,"BB2","4",0.7955777,0.0210614666666667,0.8255423384928,0.0218547257472,21.8547257472
